證券代號,年季,　 營業收入,　　 租賃收入,　　　 租賃收入合計,　　 旅遊服務收入,　　　 育樂收入,　　　　 育樂收入淨額,　　　 旅遊服務收入合計,　　 營業收入合計,　 營業成本,　　 租賃成本,　　　 租賃成本合計,　　 旅遊服務成本（觀光飯店業適用）,　　　 育樂成本,　　　　 育樂成本合計,　　　 旅遊服務成本（觀光飯店業適用）合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 處分不動產、廠房及設備利益,　　 本期所得稅費用（利益）,　　　 處分投資利益,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 當期所得稅費用（利益）
2701,2014年01月01日至2014年03月31日,,,                 45060,,,                 43982,                 43982,                 89042,,,                  9654,,,                 35628,                 35628,                 45282,                 43760,                 43760,,                  6759,                 37001,,,,                  2328,,                  1681,                  4009,,                    336,                   -336,,                 16946,                 20619,                 57620,,                  9814,                 47806,                 47806,,,,,,,                 40570,                 12446,                  6897,                 46119,                 46119,                 93925,,                              0.13,                              0,                  9814,,,,,,,,
2701,2013年第3季,,,                 44892,,,                 52080,                 52080,                 96972,,,                 10294,,,                 42650,                 42650,                 52944,                 44028,                 44028,,                  9269,                 34759,,,,                  2268,                 11843,                  2255,                 16366,,                    575,                   -575,,                 38933,                 54724,                 89483,,                 13262,                 76221,                 76221,,,,,,,,,,,                 13153,                 89374,,                              0.20,,,,,,                -25661,                 34452,,                  4362,
2701,2013年第2季,,,                 44439,,,                 45584,                 45584,                 90023,,,                 10867,,,                 37210,                 37210,                 48077,                 41946,                 41946,,                  7086,                 34860,,,,                  2347,                 13530,                  1392,                 17269,,                    370,                   -370,,                 24123,                 41022,                 75882,,                 10874,                 65008,                 65008,,,,,,,,,,,                 -6675,                 58333,,                              0.18,                              0,,,,,                 10476,                -15370,,                 -1781,
2701,2013年度,,,                176957,,,                182452,                182452,                359409,,,                 41911,,,                148198,                148198,                190109,                169300,                169300,,                 31409,                137891,,,,                  9236,                 25373,                  8628,                 43237,,                  1613,                -12942,,                 75003,                105298,                243189,,                 37187,                206002,                206002,,,,,,,,,,,                 66874,                272876,,                              0.54,                              0,,                              0,,                 11329,                 44901,                 29398,                    208,                 -7633,
2701,2013年07月01日至2013年09月30日,,,                 44892,,,                 52080,                 52080,                 96972,,,                 10294,,,                 42650,                 42650,                 52944,                 44028,                 44028,,                  9269,                 34759,,,,                  2268,                 11843,                  2255,                 16366,,                    575,                   -575,,                 38933,                 54724,                 89483,,                 13262,                 76221,                 76221,,,,,,,,,,,                 13153,                 89374,,                              0.21,                              0,,,,,                -25661,                 34452,,                  4362,
2701,2013年04月01日至2013年06月30日,,,                 44439,,,                 45584,                 45584,                 90023,,,                 10867,,,                 37210,                 37210,                 48077,                 41946,                 41946,,                  7086,                 34860,,,,                  2347,                 13530,                  1392,                 17269,,                    370,                   -370,,                 24123,                 41022,                 75882,,                 10874,                 65008,                 65008,,,,,,,,,,,                 -6675,                 58333,,                              0.19,                              0,,,,,                 10476,                -15370,,                 -1781,
2701,2013年01月01日至2013年12月31日,,,                176957,,,                182452,                182452,                359409,,,                 41911,,,                148198,                148198,                190109,                169300,                169300,,                 31409,                137891,,,,                  9236,                 25373,                  8628,                 43237,,                  1613,                -12942,,                 75003,                105298,                243189,,                 37187,                206002,                206002,,,,,,,,,,,                 66874,                272876,,                              0.56,                              0,,,,                 11329,                 44901,                 29398,                    208,                 -7633,
2701,2013年01月01日至2013年09月30日,,,                132080,,,                142100,                142100,                274180,,,                 31903,,,                115982,                115982,                147885,                126295,                126295,,                 23234,                103061,,,,                  6869,                 25373,                  5018,                 37260,,                  1277,                 -1277,,                 61198,                 97181,                200242,,                 29905,                170337,                170337,,,,,,,,,,,                 13274,                183611,,                              0.45,,,,,,                 30568,                -12097,,                 -5197,
2701,2013年01月01日至2013年06月30日,,,                 87188,,,                 90020,                 90020,                177208,,,                 21609,,,                 73332,                 73332,                 94941,                 82267,                 82267,,                 13965,                 68302,,,,                  4601,                 13530,                  2763,                 20894,,                    702,                   -702,,                 22265,                 42457,                110759,,                 16643,                 94116,                 94116,,,,,,,,,,,                    121,                 94237,,                              0.26,                              0,,,,,                 56229,                -46549,,                 -9559,
2701,2013年01月01日至2013年03月31日,,,                 42749,,,                 44436,                 44436,                 87185,,,                 10742,,,                 36122,                 36122,                 46864,                 40321,                 40321,,                  6879,                 33442,,,,                  2254,,                  1371,                  3625,,                    332,                   -332,,                 -1858,                  1435,                 34877,,                  5769,                 29108,                 29108,,,,,,,,,,,                  6796,                 35904,,                              0.08,                              0,,,,,                 45753,                -31179,,                 -7778,                  5769
2701,2012年07月01日至2012年09月30日,,,                 43731,,,                 50357,                 50357,                 94088,,,                 13477,,,                 42217,                 42217,                 55694,                 38394,                 38394,,                  6837,                 31557,,,,                  2140,                  9620,                  1987,                 13747,,                    290,                   -290,,                 32859,                 46316,                 77873,,                 11722,                 66151,                 66151,,,,,,,,,,,                237394,                303545,,                              0.18,                              0,,,,,                -33885,                265518,,                  5761,
2701,2012年04月01日至2012年06月30日,,,                 44907,,,                 40105,                 40105,                 85012,,,                 10988,,,                 32828,                 32828,                 43816,                 41196,                 41196,,                  6904,                 34292,,,,                  2296,                 15573,                  1441,                 19310,,                    336,                   -336,,                 21779,                 40753,                 75045,,                 10487,                 64558,                 64558,,,,,,,,,,,               -103138,                -38580,,                              0.18,                              0,,,,,                 21004,               -120571,,                 -3571,
2701,2012年01月01日至2012年12月31日,,,                179157,,,                164079,                164079,                343236,,,                 42713,,,                133870,                133870,                176583,                166653,                166653,,                 28629,                138024,,,,                  8868,                 25193,                  6686,                 40747,,                  1612,                  3687,,                 64142,                108576,                246600,,                 37322,                209278,                209278,,,,,,,,,,,                 74015,                283293,,                              0.57,                  5299,,,,                              0,                -70493,                132477,                     47,                 11984,
2701,2012年01月01日至2012年09月30日,,,                135738,,,                134870,                134870,                270608,,,                 34612,,,                111227,                111227,                145839,                124769,                124769,,                 20690,                104079,,,,                  6619,                 25193,                  4846,                 36658,,                  1282,                  4017,,                 59652,                100327,                204406,,                 30147,                174259,                174259,,,,,,,,,,,                169127,                343386,,                              0.48,                  5299,,,,,                -55863,                215493,,                  9497,
2701,2012年01月01日至2012年06月30日,,,                 92007,,,                 84513,                 84513,                176520,,,                 21135,,,                 69010,                 69010,                 90145,                 86375,                 86375,,                 13853,                 72522,,,,                  4479,                 15573,                  2859,                 22911,,                    992,                  4307,,                 26793,                 54011,                126533,,                 18425,                108108,                108108,,,,,,,,,,,                -68267,                 39841,,                              0.31,                  5299,,,,,                -21978,                -50025,,                  3736,
2701,2012年01月01日至2012年03月31日,,,                 47100,,,                 44408,                 44408,                 91508,,,                 10147,,,                 36182,                 36182,                 46329,                 45179,                 45179,,                  6949,                 38230,,,,                  2183,,                  1418,                  3601,,                    656,                  4643,,                  5014,                 13258,                 51488,,                  7938,                 43550,                 43550,,,,,,,,,,,                 34871,                 78421,,                              0.12,                  5299,,,,,                -42982,                 70546,,                  7307,                  7938
